SKILL,TITLE,STEPS,NOTES,FOOTAGE,VOICEOVER,MUSIC,REVIEW,,,,,,,,,,,,,,,,,,,,
,,Step 2: Establish both an incident management system and incident command system.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 3: Develop and implement an IAP.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 4: Establish and ensure scene control.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 5: Select and use personal protective equipment.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 6: Protect exposures and personnel.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 7: Ensure safety procedures are followed.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 8: Minimize or avoid hazards.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 9: Identify potential evidence.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 10: Preserve potential evidence.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 11: Complete assignment(s).,,,,,,,,,,,,,,,,,,,,,,,,,
7-2,Evaluate progress made at a hazardous materials incident. ,"WARNING!: If this skill involves the use of actual hazardous material samples, hazardous materials can cause serious injury or fatality. Appropriate personal protective equipment (PPE) must be worn and safety precautions must be followed. The following skill sheet demonstrates general steps_ specific hazmat incidents may differ in procedure. Always follow AHJ procedures for specific incidents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Determine incident status.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 2: Evaluate IAP.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 3: Determine if action objectives are being met.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 4: Evaluate effectiveness of assigned tasks.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 5: Communicate progress to supervisor using approved communication tools and equipment.,,,,,,,,,,,,,,,,,,,,,,,,,
9-1,Select appropriate PPE to address a hazardous materials scenario.,"WARNING!: If this skill involves the use of actual hazardous material samples, hazardous materials can cause serious injury or fatality. Appropriate personal protective equipment (PPE) must be worn and safety precautions must be followed. The following skill sheet demonstrates general steps_ specific hazmat incidents may differ in procedure. Always follow AHJ procedures for specific incidents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Determine hazards present.,Show ERG.,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 2: Select an appropriate PPE ensemble for the mission-specific assignment.,,,,,,,,,,,,,,,,,,,,,,,,,
9-2,"Don, work in, and doff structural fire fighting personal protective equipment. ","WARNING!: If this skill involves the use of actual hazardous material samples, hazardous materials can cause serious injury or fatality. Appropriate personal protective equipment (PPE) must be worn and safety precautions must be followed. The following skill sheet demonstrates general steps_ specific hazmat incidents may differ in procedure. Always follow AHJ procedures for specific incidents.",Shoot firefighters inspecting PPE,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Perform a visual inspection of PPE and SCBA for damage or defects.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 2: Don protective trousers and boots.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 3: Don protective hood, pulling hood down around neck and exposing head.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 4: Don protective coat.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 5: Don SCBA. Ensure that the cylinder valve is fully open and that all straps are secured.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 6: Don SCBA facepiece and ensure a proper fit and seal.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 7: Pull hood up completely so that facepiece straps and skin are not exposed.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 8: Don helmet and secure.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 9: Don inner gloves.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 10: Don gloves.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 11: Ensure that all fasteners, straps, buckles, etc., are fastened.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 12: Ensure that skin is not exposed.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 13: Attach SCBA regulator to facepiece and make sure SCBA is functioning properly.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 14: Perform preentry checks according to AHJ�s SOPs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 15: Perform work assignment.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 16: Undergo decontamination per AHJ�s SOPs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 17: Doff PPE in reverse order according to AHJ�s SOPs, avoiding contact with outer ensemble or surfaces that may be contaminated.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 18: Conduct a post-entry inspection of PPE for damage or defects according to AHJ�s SOPs and document finding.,,,,,,,,,,,,,,,,,,,,,,,,,
9-3,"Don, work in, and doff a Level C ensemble. ","WARNING!: If this skill involves the use of actual hazardous material samples, hazardous materials can cause serious injury or fatality. Appropriate personal protective equipment (PPE) must be worn and safety precautions must be followed. The following skill sheet demonstrates general steps_ specific hazmat incidents may differ in procedure. Always follow AHJ procedures for specific incidents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Perform a visual inspection of PPE for damage or defects.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 2: Don Level C PPE and secure closures.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 3: Don work boots.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 4: Pull ensemble leg opening over the top of the work boots.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 5: Don respirator.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 6: Pull ensemble hood up completely so that facepiece straps and skin are not exposed.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 7: Don inner protective gloves.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 8: Don outer protective gloves.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 9: Pull ensemble sleeves over the outside of the gloves.,,,,,,,,,,,,,,,,,,,,,,,,,
,,NOTE: Tape wrists per SOPs/SOGs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 10: Breathe through respirator and ensure that respirator is functioning properly.,,,,,,,,,,,,,,,,,,,,,,,,,
,,NOTE: Don protective headgear per SOPs/SOGs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 11: Perform preentry checks as per AHJ�s SOPs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 12: Perform work assignment.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 13: After assignment has been performed, proceed to decontamination line.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 14: Undergo decontamination as per AHJ�s SOPs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 15: Doff ensemble according to AHJ�s SOPs, avoiding contact with outer ensemble or surfaces that may be contaminated.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 16: Doff respirator according to AHJ�s SOPs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 17: Conduct a post-entry inspection of PPE for damage or defects according to AHJ�s SOPs and document findings.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 18: Return to proper storage as per manufacturer�s instructions.,,,,,,,,,,,,,,,,,,,,,,,,,
9-4,"Don, work in, and doff liquid splash-protective clothing. ","WARNING!: If this skill involves the use of actual hazardous material samples, hazardous materials can cause serious injury or fatality. Appropriate personal protective equipment (PPE) must be worn and safety precautions must be followed. The following skill sheet demonstrates general steps_ specific hazmat incidents may differ in procedure. Always follow AHJ procedures for specific incidents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,"NOTE: If using an encapsulating ensemble, these steps will need to be modified according to AHJ�s SOPs.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Perform a visual inspection of PPE and SCBA for damage or defects.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 2: Don liquid-splash PPE and secure closures.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 3: Don work boots according to AHJ�s SOPs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 4: Don the SCBA according to AHJ�s SOPs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 5: Don SCBA facepiece and ensure a proper fit and seal.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 6: Pull ensemble hood up completely so that facepiece straps and skin are not exposed.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 7: Don protective headgear (if required by AHJ).,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 8: Don inner protective gloves.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 9: Don outer protective gloves.,,,,,,,,,,,,,,,,,,,,,,,,,
,,NOTE: Tape wrists per SOPs/SOGs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 10: Attach SCBA regulator to facepiece and ensure proper operation.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 11: Perform preentry checks according to AHJ�s SOPs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 12: Perform work assignment.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 13: Undergo decontamination as per AHJ�s SOPs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 14: To doff, remove PPE in reverse order of donning.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 15: Ensure medical monitoring is performed as per AHJ�s SOPs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 16: Conduct a post-entry inspection of PPE for damage or defects according to AHJ�s SOPs and document findings.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 17: Return to proper storage as per manufacturer�s instructions.,,,,,,,,,,,,,,,,,,,,,,,,,
9-5,"Don, work in, and doff vapor-protective clothing. ","WARNING!: If this skill involves the use of actual hazardous material samples, hazardous materials can cause serious injury or fatality. Appropriate personal protective equipment (PPE) must be worn and safety precautions must be followed. The following skill sheet demonstrates general steps_ specific hazmat incidents may differ in procedure. Always follow AHJ procedures for specific incidents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Perform a visual inspection of PPE and SCBA for damage or defects.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 2: Ensure the ensemble is the correct size.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 3: Ensure zipper is in good working order.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 4: Remove shoes, belts, and any objects that could damage ensemble.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 5: Don ensemble according to AHJ�s SOPs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 6: Don the SCBA according to AHJ�s SOPs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 7: Turn on air supply, don SCBA facepiece, check seal, and breathe normally to ensure SCBA operates properly.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 8: Don protective headgear (if required by AHJ).,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 9: Don outer protective gloves.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 10: Perform preentry checks according to AHJ�s SOPs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 11: Perform work assignment.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 12: Undergo decontamination as per AHJ�s SOPs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 13: To doff, remove PPE in reverse order of donning.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 14: Ensure medical monitoring is performed as per AHJ�s SOPs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 15: Conduct a post-entry inspection of PPE for damage or defects according to AHJ�s SOPs and document findings.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 16: Return to proper storage as per manufacturer�s instructions.,,,,,,,,,,,,,,,,,,,,,,,,,
10-1,Perform gross decontamination. ,"WARNING!: If this skill involves the use of actual hazardous material samples, hazardous materials can cause serious injury or fatality. Appropriate personal protective equipment (PPE) must be worn and safety precautions must be followed. The following skill sheet demonstrates general steps_ specific hazmat incidents may differ in procedure. Always follow AHJ procedures for specific incidents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,On Scene,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Isolate contaminated tools and equipment according to SOP/Gs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 2: Conduct decontamination of tools and equipment according to SOP/Gs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 3: Wash and/or isolate PPE according to SOP/Gs, doffing as appropriate.",,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 4: Use hygienic wipes to wipe potential contaminates from face, head, neck, and hands.",,,,,,,,,,,,,,,,,,,,,,,,,
,,In Quarters,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Shower thoroughly using soap and water.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 2: Clean PPE according to SOP/Gs.,Washing machine.,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 3: Inspect and maintain PPE according to manufacturer�s recommendations.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 4: Store PPE outside of living and sleeping quarters.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 5: Complete required reports and supporting documentation.,,,,,,,,,,,,,,,,,,,,,,,,,
10-2,Perform emergency decontamination. ,"WARNING!: If this skill involves the use of actual hazardous material samples, hazardous materials can cause serious injury or fatality. Appropriate personal protective equipment (PPE) must be worn and safety precautions must be followed. The following skill sheet demonstrates general steps_ specific hazmat incidents may differ in procedure. Always follow AHJ procedures for specific incidents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Ensure that all responders involved in decontamination operations are wearing appropriate PPE for performing emergency decontamination operations.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 2: Remove the victim from the contaminated area.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 3: Ensure emergency decontamination is set up in a safe area.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 4: Wash immediately any contaminated clothing or exposed body parts with flooding quantities of water.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 5: Remove mannequin PPE/clothing rapidly, minimizing the spread of contaminants.",,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 6: Perform a quick cycle of head-to-toe rinse, wash, and rinse.",,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 7: Transfer the victim to treatment personnel for assessment, first aid, and medical treatment.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 8: Ensure that ambulance and hospital personnel are told about the contaminant involved.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 9: Complete required reports and supporting documentation.,,,,,,,,,,,,,,,,,,,,,,,,,
10-3,Perform technical decontamination on ambulatory people. ,"WARNING!: If this skill involves the use of actual hazardous material samples, hazardous materials can cause serious injury or fatality. Appropriate personal protective equipment (PPE) must be worn and safety precautions must be followed. The following skill sheet demonstrates general steps_ specific hazmat incidents may differ in procedure. Always follow AHJ procedures for specific incidents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Ensure proper decontamination method has been chosen to minimize hazards.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 2: Ensure that all responders are wearing appropriate PPE for performing technical decontamination operations.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 3: Establish technical decontamination corridor for ambulatory decontamination according to the AHJ�s SOPs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 4: Ensure the decontamination corridor provides privacy.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 5: Establish an initial triage point to evacuate and direct persons.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 6: Perform lifesaving intervention if needed.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 7: If not an emergency provider, instruct victim to remove potentially contaminated clothing and jewelry, ensuring he/she does not come in further contact with contaminants.  Emergency responders may drop tools and or equipment.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 8: Instruct person to undergo gross decontamination.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 9: Instruct person to undergo secondary decontamination wash.,,,,,,,,,,,,,,,,,,,,,,,,,
,,NOTE: Emergency resonders undergoing technical decon will doff PPE per SOPs after the secondary decontamination wash.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 10: Instruct person to enter the privacy station, remove undergarments, and shower and wash thoroughly from the top down.",,,,,,,,,,,,,,,,,,,,,,,,,
,,NOTE: Do NOT ask members of the public to remove their clothes to shower unless complete privacy is provided.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 11: Provide a clean garment for person to wear after showering.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 12: Monitor for additional contamination using the appropriate detection device.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"NOTE: If contamination is detected, repeat the decontamination sequence and/or change the decontamination method, as appropriate.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 13: Direct the person to the medical evaluation station.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 14: Ensure personnel, tools, and equipment are decontaminated.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 15: Terminate decontamination operations according to AHJ�s policies and procedures.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 16: Complete required reports and supporting documentation.,,,,,,,,,,,,,,,,,,,,,,,,,
10-4,Perform technical decontamination on nonambulatory victims.  ,"WARNING!: If this skill involves the use of actual hazardous material samples, hazardous materials can cause serious injury or fatality. Appropriate personal protective equipment (PPE) must be worn and safety precautions must be followed. The following skill sheet demonstrates general steps_ specific hazmat incidents may differ in procedure. Always follow AHJ procedures for specific incidents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Ensure proper decontamination method has been chosen to minimize hazards.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 2: Ensure that all responders are wearing appropriate PPE for performing technical decontamination operations.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 3: Establish technical decontamination corridor for nonambulatory decontamination according to the AHJ�s SOPs.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 4: Ensure the decontamination corridor provides privacy for victims.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 5: Establish an initial triage point to evaluate and direct persons.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 6: Perform lifesaving intervention if needed.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 7: Transfer the victim to the nonambulatory wash area of the decontamination station on an appropriate backboard/litter device.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 8: Remove all PPE/clothing, jewelry, and personal belongings, and place in appropriate containers. Decontaminate items as required, and safeguard. Use plastic bags with labels for identification.",,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 9: Carefully undress nonambulatory persons, and avoid spreading the contamination when undressing. Do not touch the outside of the clothing to the skin.",,,,,,,,,,,,,,,,,,,,,,,,,
,,"NOTE: If biological agents are suspected, a fine water mist can be applied to trap the agent in the clothing and prevent the spread of contamination.",,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 10: Completely wash the victim�s entire body using handheld hoses, sponges, and/or brushes, and then rinse.",,,,,,,,,,,,,,,,,,,,,,,,,
,,"NOTE: Clean the victim�s genital area, armpits, folds in the skin, and nails with special attention. If conscious, instruct the victim to close his/her mouth and eyes during wash and rinse procedures.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 11: Transfer the victim from the wash and rinse stations to a drying station after completing the decontamination process. Ensure that the victim is completely dry.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 12: Monitor for additional contamination using the appropriate detection device.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"NOTE: If contamination is detected, repeat decontamination wash and/or change decontamination method, as appropriate.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 13: Have on-scene medical personnel reevaluate the victim�s injuries.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 14: Ensure personnel, tools, and equipment are decontaminated.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 15: Terminate decontamination operations according to AHJ�s policies and procedures.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 16: Complete required reports and supporting documentation.,,,,,,,,,,,,,,,,,,,,,,,,,
10-5,Perform mass decontamination on ambulatory people. ,"WARNING!: If this skill involves the use of actual hazardous material samples, hazardous materials can cause serious injury or fatality. Appropriate personal protective equipment (PPE) must be worn and safety precautions must be followed. The following skill sheet demonstrates general steps_ specific hazmat incidents may differ in procedure. Always follow AHJ procedures for specific incidents.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 1: Ensure proper decontamination method has been chosen to minimize hazards.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 2: Ensure that all responders are wearing appropriate PPE for performing mass decontamination operations.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 3: Ensure decontamination operations are set up in a safe area.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 4: Ensure the decontamination corridor provides privacy.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 5: Prepare fire apparatus for use during mass decontamination.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 6: Set fire nozzle to fog pattern.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 7: Instruct all people to go through mass decontamination.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Step 8: Instruct each person to remove contaminated clothing, ensuring that victims do not come into further contact with any contaminants.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 9: Instruct each person to keep arms raised as they proceed slowly through the wash area.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 10: Monitor for additional contamination using the appropriate detection device.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"NOTE: If contamination is found, instruct person to go through wash again, as appropriate.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 11: Instruct person to move to a clean area to dry off.,,,,,,,,,,,,,,,,,,,,,,,,,
,,Step 12: Send each person for medical treatment.,,,,,,,,,,,,,,,,,,,,,,,,,
